Name,Element,Tier,Terminal,HP,ATK,DEF,Affiliations,Ability Name,Ability Text,TransformIn,HasChain,ChainName,ChainSize,ChainAffiliation,ChainFormula,ChainExtras,Flavor,Notes
"Arlia, Destined Trainee",Fire,1,N,20,10,10,"Destined, Trainee",,,,N,,,,,,"A young girl with incredible potential. Hailing from a small village called Urnakle, she entered the trainee program with a chip on her shoulder and a desire to make her people proud.",
Mage Arlia,Fire,2,N,30,40,10,"Mages Guild, Destined",Unstable Resonance,"When Mage Arlia enters play, deal 10 damage to each of your other Mages Guild characters. While she is in play, your Mages Guild characters have +10 ATK.","Arlia, Destined Trainee + Instructional Tome",N,,,,,,A young mage with incredible potential. She seeks greater strength to protect those she loves.,
Squire Arlia,Earth,2,N,50,20,20,"Kaethlaan Knights, Destined",Me for You,"Once per your opponent's turn and when an attack is declared at an individual target, redirect the attack to this unit and grant this unit +10 DEF during damage calculation.","Arlia, Destined Trainee + Instructional Sword",N,,,,,,,
"Arlia, Youngest Archmage",Fire,3,Y,40,70,20,"Mages Guild, The Archive, Destined, Attuned",Magical Shield,"If your opponent targets a card you control with a destroying effect, negate it and destroy it.",Mage Arlia + 2 T2 Items,Y,Consortium,2,"Mages Guild, Attuned",,,The youngest Archmage in centuries with abilities and wisdom far beyond her years.,
Captain Arlia of the Royal Army,Earth,3,Y,70,40,50,"Kaethlaan Knights, Royal Army, King's Court (Kaethlaan), Destined",My Liege,"If King Honathan is in play, +30 ATK and DEF, this character cannot be targeted by manipulation attempts and this character cannot change control.",Squire Arlia + 2 T2 Items,Y,Triangle Attack,3,Kaethlaan Knights,Deal damage equal to the sum of all ATK +30.,,The Captain of the Royal Army. She fights with boldness and has sworn lifelong fealty to the crown.,Royal Army affiliation added this session
The Wandering Acolyte Arlia,Light,3,N,50,40,20,"Destined, Wandering",Seeker,"Once per turn, you may look at the top 3 cards of your deck and arrange them in any order.",Mage Arlia + Disillusioned + Opportunity,N,,,,,,A former Mages Guild member who has become disillusioned. She searches for truth greater than theirs.,
The Ascended,Dark & Light,4,Y,??,??,??,"Ascended, Wandering, The Divine Channel",Absolute Truth,"This character's HP, ATK, and DEF are the number of items discarded during transformation x20. Stat-modifying riders on consumed items do not apply; ability-grant riders still apply.",The Wandering Acolyte Arlia + 1+ T3 Items,Y,The Channel,2+,"The Divine Channel, Ascended",Deal damage to all characters on both sides of the field except chained characters equal to the sum of ATK x2,Characters defeated by this attack are Disgraced.,A former mage once called Arlia who found the greatest truth of the universe. She communes with Gods and does not observe human needs.,
"Arlia, Kael's Wife",Fire,TBD,TBD,TBD,TBD,TBD,"Sworn, Destined",TBD,"TBD - married synergy with Kael, Arlia's Husband",Arlia (T2) + Kael at T2/T3 (marriage / paired transformation),TBD,,,,,,TBD,Marriage form. Tier/stats/ability/flavor not yet designed.
"Kael, Destined Trainee",Water,1,N,20,20,0,"Destined, Trainee",,,,N,,,,,,A street boy with a desire for revenge on those who looked down on his family.,Vanilla aggressive base; all offense and no guard.
Swiftblade Kael,Water,2,N,40,50,10,"Royal Army, Destined",,,"Kael, Destined Trainee + Back-Alley Blade",N,,,,,,One of the most gifted swordsmen in the entire Royal Army; cynical and aggressive.,"Hub form; vanilla beater. Highest base ATK at T2. Branches into the Loyal, Outlaw, and Subordinate roads."
Kael the Shadow,Water,3,N,50,70,10,"Royal Army, Destined",Assassin's Reach,"Kael the Shadow may declare attacks against opposing passive-zone characters, not only the active zone. While King Honathan is in play, Kael the Shadow has +10 ATK.",Swiftblade Kael,N,,,,,,A royal army assassin who reports directly to King Honathan. Quiet and precise.,Loyal road. Precision = backline reach; escalates to Leader reach on The King's Blade.
