Name,Tier,Type,Text,Flavor,Notes
Disillusioned,T1,Persistent Event,"Attach to one of your characters; that character becomes Disillusioned. While attached, that character cannot benefit from your affiliation auras. Consumed when the attached character transforms along a chosen-branch (Disillusioned) path.","The banners she once saluted are only cloth now.","Canonical gate for the chosen-branch / wanderer transform. With Opportunity, enables Mage Arlia -> The Wandering Acolyte Arlia. 'Disillusioned' is a STATE; other events that confer it satisfy the same transform condition."
Opportunity,T2,Event,"Play only if you control a Disillusioned character. Take one additional transformation action this turn.","Every locked door has a moment it forgets to stay locked.","Catalyst half of the wanderer turn; pairs with Disillusioned. Generic value: an extra transformation action."
A Crisis of Faith,T2,Persistent Event,"Attach to one of your characters; that character becomes Disillusioned. When this enters, draw a card. While attached, that character has +10 ATK and -10 DEF.","Doubt does not make her careful. It makes her reckless.","Alternate Disillusioned source with an aggressive rider; satisfies chosen-branch transform conditions."
Cast Out,T2,Persistent Event,"Attach to one of your characters; that character becomes Disillusioned. While attached, that character loses all Kingdom-internal affiliations.","The order does not exile its own. It simply stops saying their names.","Harshest Disillusioned source; strips institutional chains and auras. Satisfies chosen-branch transform conditions."
The Long Road,T2,Persistent Event / Light,"Attach to a Disillusioned character or a Wandering character. At the start of each of your turns, that character heals 10. While attached, that character cannot bear equipment.","The road provides. The road also takes.","Wanderer-line payoff and canonical heal-over-time example. Does NOT confer the Disillusioned state."
Plague,T2,Persistent Event / Dark,"While Plague is in play, reduce the Max HP of all characters on both sides by 10. Cap-only rule applies.","It does not ask which side you are on.","Persistent event (formerly a field card). Both-sides reach is carried in the text, not a category. Canonical Mathematical Opposition example and the canonical fall trigger ('Falls while Plague is in play')."
Medical Advancement,T2,Persistent Event / Kaethlaan,"While Medical Advancement is in play, increase the Max HP of your side's characters by 10.","An honest kingdom answers death with bookkeeping.","Persistent event (formerly a field card). 'Your side' reach is carried in the text. Emergent counter to Plague's Max HP math; does not negate Plague's fall-trigger role."
Call of the Channel,T2,Event,"Discard a card, then search your deck for a card with The Divine Channel affiliation, reveal it, add it to your hand, and shuffle your deck.",,"RECONSTRUCTED from v0.7 session (was not in the prior project CSV). Affiliation-locked tutor with a real cost (discard) per the tutoring design rule. Controller-side; no (G). CONFIRM exact wording, any element tag, and flavor. Now has real targets: The Ascended, Old Maid Hresheeba, Channel Being."
Shield Wall,T2,Persistent Event,"Choose a Kaethlaan Knight you control. While Shield Wall is in play, that character gains DEF equal to its DEF minus 30 (minimum +0).",,"RECONSTRUCTED from v0.7 session. Renamed from 'Rally' to avoid collision with Banner of the Realm's Rally chain. Persistent Event framing is a deliberate workaround for the undefined one-shot buff-duration rule (open v0.7 question). Integer (DEF-30) buff avoids half-DEF breaking the x10 scale. CONFIRM wording (base vs current DEF), whether the Type should read 'Persistent Event / Kaethlaan', and flavor."
Taken Prisoner,T1,Persistent Event,"Play only while a War is in play. Attach to one of your characters; that character becomes War-Torn. While attached, that character cannot attack. Consumed when the attached character transforms along a War-Torn path.",The war did not kill him. It did something slower.,"Costed state-gate modeled on Disillusioned, now gated behind an active War (you take prisoners during wars). Confers the War-Torn state (cannot attack); gates Swiftblade Kael -> Kael the Captured. Deliberate capture; gates Kael's outlaw road (Holy War's coin-flip capture does not). Also captures your own A Man Bred for War to buff him, and feeds The Broken March's War-Torn count."
